,Unnamed: 0,badge,firstname,lastname,middle,scopus,score,match_1
556,556,38603,Ian,Foster,T,55192430300,0.96,Ian T. Foster
557,557,6739,Samuel,Baker,I,8361111800,0.965517241,Samuel I. Baker
559,559,33780,James,Proudfoot,,35227839500,1,James Proudfoot
560,560,39052,Dean,Miller,J,36077887100,0.962962963,Dean J. Miller
564,564,40306,Yifen,Tsai,,56415556900,1,Yifen Tsai
565,565,43631,Ruslan,Sanishvili,,6701843256,1,Ruslan Sanishvili
568,568,30532,Joseph,Gregar,S,56515307100,0.967741935,Joseph S. Gregar
569,569,35094,Vladimir,Koritarov,,6506027061,1,Vladimir Koritarov
574,574,45247,John,Hryn,N,6603958435,0.956521739,John N. Hryn
581,581,42899,Hual-Te,Chien,,7004488850,0.923076923,Hual Te Chien
582,582,16229,Susan,Strasser,B,42962535300,0.96969697,Susan B. Strasser
583,583,36447,Laura,Skubal,R,6505781270,0.965517241,Laura R. Skubal
591,591,12163,Harold,Spinka,M,7003850707,0.928571429,Harold Spinka
595,595,36465,Robert,Dunford,W,22971084700,0.96969697,Robert W. Dunford
599,599,44565,James,Butler,P,7403924940,0.965517241,James P. Butler
600,600,20602,Charles,Jonah,D,7003674867,0.967741935,Charles D. Jonah
601,601,37777,Stephen,Dorris,E,7004422833,0.96969697,Stephen E. Dorris
602,602,47944,May,Wu,M,56242143400,0.941176471,May M. Wu
605,605,35427,Mark,Dietz,L,7102692348,0.96,Mark L. Dietz
606,606,35705,William,Ebert,L,7101726244,0.967741935,William L. Ebert
613,613,27335,Laural,Briggs,L,35923011500,0.967741935,Laural L. Briggs
615,615,42090,Ian,McNulty,,7003852021,1,Ian McNulty
616,616,42102,Deming,Shu,,56432273600,1,Deming Shu
620,620,27289,Richard,Coulter,L,7006618175,0.971428571,Richard L. Coulter
625,625,42455,Zhonghou,Cai,,56438505600,1,Zhonghou Cai
627,627,46398,David,Brown,F,55738785700,0.916666667,David Brown
628,628,47962,Omar,Chmaissem,H,7003324775,0.933333333,Omar Chmaissem
629,629,48899,Thomas,LeCompte,J,35227499400,0.914285714,Thomas J. Lecompte
630,630,37641,Thomas,Fanning,H,7005686894,0.96969697,Thomas H. Fanning
636,636,37861,Kathy,Simunich,L,6505487950,0.96969697,Kathy L. Simunich
637,637,37863,Ulrich,Welp,,56264118000,1,Ulrich Welp
638,638,37893,Dennis,Mills,M,7402571072,0.965517241,Dennis M. Mills
643,643,39978,Lin,Chen,X,7409436619,0.952380952,Lin X. Chen
647,647,28466,Delbert,Bowers,L,7102677153,0.96969697,Delbert L. Bowers
648,648,43493,Deborah,Elcock,,6602999602,1,Deborah Elcock
650,650,47155,Tijana,Rajh,,7003767500,1,Tijana Rajh
653,653,44146,Andrew,Cherry,J,8160436400,0.928571429,Andrew Cherry
657,657,9990,Paul,Benioff,A,6701923878,0.923076923,Paul Benioff
658,658,32283,Ron,Shepard,L,7102027310,0.916666667,Ron Shepard
662,662,42020,Jonathan,Almer,D,6701663080,0.96969697,Jonathan D. Almer
665,665,40271,Alireza,Nassiri,,55409448400,1,Alireza Nassiri
667,667,34897,Esen,Alp,E,35473740000,0.952380952,Esen E. Alp
668,668,34994,Edward,Daniels,J,7101961857,0.96969697,Edward J. Daniels
669,669,35010,Candace,Rose,M,7402337264,0.923076923,Candace Rose
672,672,48824,Philip,Laible,D,6701722644,0.967741935,Philip D. Laible
674,674,39999,Robert,Van Lonkhuyzen,A,7801620341,0.978723404,Robert A. Van Lonkhuyzen
677,677,40583,Oyelayo,Ajayi,O,35571648900,0.967741935,Oyelayo O. Ajayi
678,678,40594,Nancy,Dietz Rago,L,16686309900,0.972972973,Nancy L. Dietz Rago
685,685,38317,David,Potterveld,H,6603927953,0.972972973,David H. Potterveld
689,689,45019,Tanju,Sofu,,6603442143,1,Tanju Sofu
690,690,23875,David,Streets,G,7006461606,0.967741935,David G. Streets
692,692,20241,Albert,Macrander,,7004522107,1,Albert Macrander
693,693,25423,Larry,Curtiss,A,7102851356,0.967741935,Larry A. Curtiss
695,695,25514,Donald,Geesaman,F,7003818881,0.971428571,Donald F. Geesaman
696,696,37709,David,LePoire,J,6508138251,0.967741935,David J. LePoire
697,697,48765,Norma,Duke,,7004239483,1,Norma Duke
702,702,41859,James,Kavicky,A,6603477499,0.967741935,James A. Kavicky
707,707,22803,Roy,Holt,J,7402085491,0.952380952,Roy J. Holt
708,708,26868,Claude,Reed,B,55903935800,0.962962963,Claude B. Reed
709,709,87442,Ayman,Said,H,7102432903,0.96,Ayman H. Said
710,710,52140,Michael,Kelly,P,26429669900,0.967741935,Michael P. Kelly
711,711,86076,Donald,Walko,A,6603357761,0.965517241,Donald A. Walko
712,712,51371,John,Freeland,W,7005472846,0.967741935,John W. Freeland
714,714,51543,Raymond,Loy,M,7007140597,0.962962963,Raymond M. Loy
715,715,51595,Nena,Moonier,P,56531971900,0.923076923,Nena Moonier
718,718,52248,Robert,Ross,B,8424541100,0.962962963,Robert B. Ross
722,722,50882,Khalil,Amine,,8871958800,1,Khalil Amine
723,723,85943,Julie,Cross,O,7402348875,0.962962963,Julie O. Cross
724,724,51322,Anirudha,Sumant,V,6603577512,0.971428571,Anirudha V. Sumant
725,725,36169,Julius,Jellinek,,6604083039,1,Julius Jellinek
726,726,52208,Jiyong,Zhao,,56467502500,1,Jiyong Zhao
731,731,86543,Kemin,Tan,,35182036600,1,Kemin Tan
732,732,87100,Yongseong,Choi,,55685926900,1,Yongseong Choi
733,733,52635,Zuotao,Zeng,,7402647415,1,Zuotao Zeng
737,737,21009,Albert,Wagner,F,56531258700,0.967741935,Albert F. Wagner
738,738,21455,Thomas,Baldwin,E,35892490700,0.96969697,Thomas E. Baldwin
739,739,23536,Danilo,Santini,J,7103292857,0.96969697,Danilo J. Santini
740,740,23987,Robert,Erck,A,7003279873,0.962962963,Robert A. Erck
743,743,52053,Justin,Wozniak,M,8900976900,0.96969697,Justin M. Wozniak
746,746,52541,Yuelin,Li,,7502088567,1,Yuelin Li
749,749,52759,Sylvain,Pagerit,,37054457000,1,Sylvain Pagerit
751,751,51072,Sreenath,Gupta,B,7407273271,0.96969697,Sreenath B. Gupta
752,752,86306,Jacqueline,Cole,M,56305941600,0.971428571,Jacqueline M. Cole
754,754,52462,Steven,Shoaf,E,24777170200,0.923076923,Steven Shoaf
755,755,52987,Matthew,Mahalik,R,24080590300,0.971428571,Matthew R. Mahalik
756,756,51647,Young,Park,S,11439755400,0.96,Young S. Park
